,jd,u,zu,ta,zt,rh,zq,P,Tsea,sw_dn,lw_dn,lat,lon,Zi,rain,Ss,Cp,sigH,tsg,Ts_depth,tsnk,ztsg
0,265.324,11.10604912,2.2597,23.45625391,2.2597,87.53858333,3.1741,1002.626463,21.3613541,120.844,398.8941629,41.5777,-70.74611,600,0,32.1816,0,0,21.3613541,6.1985,6.1985,6.1985
1,265.336,10.49420585,2.4007,23.4487625,2.4007,87.76583333,3.3151,1002.721363,21.36593538,132.9483333,400.6338226,41.5777,-70.74611,600,0,32.1817,0,0,21.36593538,6.0575,6.0575,6.0575
2,265.348,10.77887393,2.3912,23.41012891,2.3912,87.63491667,3.3056,1002.862867,21.37099889,106.07,402.2890666,41.5777,-70.74611,600,0,32.1815,0,0,21.37099889,6.067,6.067,6.067
3,265.36,9.660903866,2.4577,23.42012604,2.4577,87.30775,3.3721,1002.924515,21.37274948,54.963225,414.1575424,41.5777,-70.74611,600,0,32.18125,0,0,21.37274948,6.0005,6.0005,6.0005
4,265.372,8.838596479,2.4927,23.40122031,2.4927,87.29825,3.4071,1002.805538,21.377059,109.6626667,410.0009782,41.5777,-70.74611,600,0,32.18145,0,0,21.377059,5.9655,5.9655,5.9655
5,265.384,8.115714172,2.5847,23.30382318,2.5847,87.76283333,3.4991,1002.215986,21.38679224,260.7040833,407.0316206,41.5777,-70.74611,600,0,32.1814,0,0,21.38679224,5.8735,5.8735,5.8735
6,265.396,9.407353431,2.6272,23.42051198,2.6272,86.441,3.5416,1001.494405,21.3960843,213.2436667,406.4808484,41.5777,-70.74611,600,0,32.18125,0,0,21.3960843,5.831,5.831,5.831
7,265.408,9.357604444,2.6762,23.52051406,2.6762,85.81583333,3.5906,1000.969685,21.40598012,355.6445,407.7864163,41.5777,-70.74611,600,0,32.1807,0,0,21.40598012,5.782,5.782,5.782
8,265.42,10.00877183,2.7372,23.76345677,2.7372,84.01668057,3.6516,1000.192846,21.42616339,757.5824854,393.9439453,41.5777,-70.74611,600,0,32.18065,0,0,21.42616339,5.721,5.721,5.721
9,265.432,10.53824735,2.7102,23.96837318,2.7102,82.54737281,3.6246,999.5790308,21.46190216,575.3432027,398.4697355,41.5777,-70.74611,600,0,32.1806,0,0,21.46190216,5.748,5.748,5.748
10,265.444,10.51018185,2.7017,23.90235547,2.7017,82.80466667,3.6161,999.6463505,21.44992092,133.919725,404.3539467,41.5777,-70.74611,600,0,32.18025,0,0,21.44992092,5.7565,5.7565,5.7565
11,265.456,9.608491231,2.6777,23.59562214,2.6777,86.01133333,3.5921,999.5351158,21.4415103,41.15265,411.7642725,41.5777,-70.74611,600,0,32.1802,0,0,21.4415103,5.7805,5.7805,5.7805
12,265.468,8.845683468,2.6187,23.50725781,2.6187,87.16066667,3.5331,999.5732949,21.44354366,27.31188,418.6860683,41.5777,-70.74611,600,0,32.1787,0,0,21.44354366,5.8395,5.8395,5.8395
13,265.48,8.488187637,2.5127,23.39839687,2.5127,89.34491667,3.4271,998.8823179,21.44630514,47.51761667,421.0845461,41.5777,-70.74611,600,0,32.1751,0,0,21.44630514,5.9455,5.9455,5.9455
14,265.492,9.470532458,2.3872,23.22045807,2.3872,91.2895,3.3016,998.1427015,21.44506088,60.14595833,420.6058518,41.5777,-70.74611,600,0,32.16495,0,0,21.44506088,6.071,6.071,6.071
15,265.504,9.088302354,2.3902,23.0409987,2.3902,94.12375,3.3046,997.5221785,21.44013254,15.86789583,421.4923878,41.5777,-70.74611,600,0,32.16355,0,0,21.44013254,6.068,6.068,6.068
16,265.516,8.604931966,2.2892,22.99715026,2.2892,96.5535,3.2036,997.1630679,21.42415193,19.78506083,423.3045364,41.5777,-70.74611,600,0,32.1419,0,0,21.42415193,6.169,6.169,6.169
17,265.528,9.058787691,2.1512,23.08696901,2.1512,95.87916667,3.0656,996.8085064,21.40528468,12.0153725,423.1448695,41.5777,-70.74611,600,0,32.09125,0,0,21.40528468,6.307,6.307,6.307
18,265.54,9.51140527,2.0662,22.48877995,2.0662,96.13333333,2.9806,997.1420187,21.38984123,9.8555325,421.1698327,41.5777,-70.74611,600,0,32.08855,0,0,21.38984123,6.392,6.392,6.392
19,265.552,11.96321965,1.9932,20.03085104,1.9932,94.28825,2.9076,998.1917663,21.36669192,38.5747,402.112657,41.5777,-70.74611,600,0,32.0695,0,0,21.36669192,6.465,6.465,6.465
20,265.564,11.49505443,1.9547,18.16853125,1.9547,87.38259167,2.8691,999.0466941,21.36088931,40.99025,391.4294891,41.5777,-70.74611,600,0,32.06905,0,0,21.36088931,6.5035,6.5035,6.5035
21,265.576,10.10594566,2.0952,17.61043932,2.0952,84.83486667,3.0096,998.5357756,21.36078462,46.42690833,385.2861978,41.5777,-70.74611,600,0,32.0803,0,0,21.36078462,6.363,6.363,6.363
22,265.588,8.828130611,2.1912,17.5476474,2.1912,80.99006667,3.1056,998.435734,21.36074623,22.58511667,384.2188598,41.5777,-70.74611,600,0,32.0893,0,0,21.36074623,6.267,6.267,6.267
23,265.6,7.380100681,2.1432,17.16974141,2.1432,85.577125,3.0576,999.5729209,21.35911562,6.537471667,384.2019526,41.5777,-70.74611,600,0,32.08885,0,0,21.35911562,6.315,6.315,6.315
24,265.612,6.089326646,2.2337,16.94335182,2.2337,87.60375,3.1481,999.5543426,21.35168768,8.249663333,381.6261412,41.5777,-70.74611,600,0,32.0877,0,0,21.35168768,6.2245,6.2245,6.2245
25,265.624,4.896597231,2.1622,16.86743255,2.1622,84.54433333,3.0766,999.5978077,21.35032851,7.627665,380.6375163,41.5777,-70.74611,600,0,32.08005,0,0,21.35032851,6.296,6.296,6.296
26,265.636,3.660522429,2.2612,16.76295313,2.2612,84.06273561,3.1756,999.6302437,21.33989502,6.450664721,378.6969281,41.5777,-70.74611,600,0,32.0825,0,0,21.33989502,6.197,6.197,6.197
27,265.648,3.082234852,2.2587,16.74792396,2.2587,84.76555463,3.1731,999.7089283,21.32981515,7.778281068,377.1365088,41.5777,-70.74611,600,0,32.084,0,0,21.32981515,6.1995,6.1995,6.1995
28,265.66,2.012403739,2.1307,16.93052135,2.1307,82.86474167,3.0451,1000.089138,21.31585692,22.35302667,376.452504,41.5777,-70.74611,600,0,32.0835,0,0,21.31585692,6.3275,6.3275,6.3275
29,265.672,2.083556786,2.1052,17.20640833,2.1052,80.916325,3.0196,1000.104783,21.29463602,2.502540833,371.716942,41.5777,-70.74611,600,0,32.0817,0,0,21.29463602,6.353,6.353,6.353
30,265.684,2.773516642,2.0977,17.46537318,2.0977,81.02245,3.0121,1000.480897,21.28859205,0.5612075,366.7609803,41.5777,-70.74611,600,0,32.0766,0,0,21.28859205,6.3605,6.3605,6.3605
31,265.696,3.630019827,2.0522,17.70838906,2.0522,78.69005,2.9666,1000.518965,21.28151692,0.5349483333,366.0951021,41.5777,-70.74611,600,0,32.07905,0,0,21.28151692,6.406,6.406,6.406
32,265.708,4.611852596,2.0332,17.74223516,2.0332,78.18835,2.9476,1000.946351,21.27776157,0.2705966667,367.4234336,41.5777,-70.74611,600,0,32.08705,0,0,21.27776157,6.425,6.425,6.425
33,265.72,5.485249116,1.9787,17.95504115,1.9787,79.45906667,2.8931,1000.893821,21.27178796,0.404645,365.7041072,41.5777,-70.74611,600,0,32.0886,0,0,21.27178796,6.4795,6.4795,6.4795
34,265.732,6.073689269,1.9917,18.00732448,1.9917,81.39798333,2.9061,1000.747836,21.27332559,-0.1662466667,361.5461662,41.5777,-70.74611,600,0,32.0914,0,0,21.27332559,6.4665,6.4665,6.4665
35,265.744,6.455563527,2.0097,18.21221771,2.0097,80.74665,2.9241,1001.301148,21.26813559,-0.440045,357.9984877,41.5777,-70.74611,600,0,32.09355,0,0,21.26813559,6.4485,6.4485,6.4485
36,265.756,6.45633335,2.0287,18.23718099,2.0287,81.54356667,2.9431,1001.889405,21.27339721,-0.7943275,353.1087657,41.5777,-70.74611,600,0,32.09525,0,0,21.27339721,6.4295,6.4295,6.4295
37,265.768,6.000319884,2.1322,18.20878099,2.1322,81.29785,3.0466,1001.965956,21.27510015,-1.559160833,333.3866458,41.5777,-70.74611,600,0,32.0934,0,0,21.27510015,6.326,6.326,6.326
38,265.78,5.71722681,2.2027,17.97888724,2.2027,80.445125,3.1171,1002.032485,21.26874112,-1.732765,329.991588,41.5777,-70.74611,600,0,32.08695,0,0,21.26874112,6.2555,6.2555,6.2555
39,265.792,6.769426808,2.2997,17.9826013,2.2997,80.13135833,3.2141,1001.993508,21.26470842,-1.6333025,327.5908076,41.5777,-70.74611,600,0,32.08555,0,0,21.26470842,6.1585,6.1585,6.1585
40,265.804,6.535163852,2.3792,17.64116484,2.3792,78.25840833,3.2936,1002.124658,21.26453923,-1.923119167,322.908322,41.5777,-70.74611,600,0,32.0832,0,0,21.26453923,6.079,6.079,6.079
41,265.816,5.922996018,2.5032,17.21599922,2.5032,82.29626667,3.4176,1002.250042,21.26717212,-1.914249167,321.213722,41.5777,-70.74611,600,0,32.0799,0,0,21.26717212,5.955,5.955,5.955
42,265.828,5.857542711,2.5877,17.28540078,2.5877,78.61138333,3.5021,1002.523657,21.26841202,-1.623051667,320.9289629,41.5777,-70.74611,600,0,32.0791,0,0,21.26841202,5.8705,5.8705,5.8705
43,265.84,7.485574967,2.6457,17.13531146,2.6457,77.51929942,3.5601,1002.793386,21.24985448,-1.746606339,319.9847843,41.5777,-70.74611,600,0,32.07715,0,0,21.24985448,5.8125,5.8125,5.8125
44,265.852,7.824549604,2.7917,16.91782005,2.7917,78.04535446,3.7061,1003.339781,21.24066436,-1.790558799,317.5969712,41.5777,-70.74611,600,0,32.07335,0,0,21.24066436,5.6665,5.6665,5.6665
45,266,6.226288873,2.7262,16.64727083,2.7262,84.07440833,3.6406,1003.788545,21.22893842,-1.7762075,319.8233833,41.5777,-70.74611,600,0,32.0698,0,0,21.22893842,5.732,5.732,5.732
46,266.012,7.537342888,2.8962,16.36493385,2.8962,83.97790833,3.8106,1004.079509,21.22045884,-1.723325,321.0401372,41.5777,-70.74611,600,0,32.06885,0,0,21.22045884,5.562,5.562,5.562
47,266.024,7.745096423,2.9002,16.08250703,2.9002,81.519625,3.8146,1003.965456,21.19515227,-1.716915,312.3555541,41.5777,-70.74611,600,0,32.0671,0,0,21.19515227,5.558,5.558,5.558
48,266.036,8.767621494,2.9272,15.93021354,2.9272,79.29720833,3.8416,1004.017646,21.17940907,-1.741984167,308.0146239,41.5777,-70.74611,600,0,32.067,0,0,21.17940907,5.531,5.531,5.531
49,266.048,9.10821803,2.9817,15.52066016,2.9817,76.85335833,3.8961,1004.309426,21.18292677,-1.781925,304.9510314,41.5777,-70.74611,600,0,32.0675,0,0,21.18292677,5.4765,5.4765,5.4765
50,266.06,9.384632476,2.9772,15.18646927,2.9772,77.34585,3.8916,1004.209925,21.17292892,-1.744841667,303.0734869,41.5777,-70.74611,600,0,32.0675,0,0,21.17292892,5.481,5.481,5.481
51,266.072,9.709105467,2.9647,15.09860339,2.9647,77.23876667,3.8791,1004.112388,21.15685251,-1.525256667,302.1240006,41.5777,-70.74611,600,0,32.0681,0,0,21.15685251,5.4935,5.4935,5.4935
52,266.084,9.028852535,2.9117,14.88802682,2.9117,77.71616667,3.8261,1004.167342,21.13667216,-1.75986,301.4791354,41.5777,-70.74611,600,0,32.06765,0,0,21.13667216,5.5465,5.5465,5.5465
53,266.096,8.723289817,2.8102,14.44043802,2.8102,81.03885833,3.7246,1004.163447,21.11672847,-1.779566667,300.7957921,41.5777,-70.74611,600,0,32.0693,0,0,21.11672847,5.648,5.648,5.648
54,266.108,8.721666067,2.6867,14.28825417,2.6867,83.35751667,3.6011,1004.213286,21.11709181,-1.468325,307.0681216,41.5777,-70.74611,600,0,32.072,0,0,21.11709181,5.7715,5.7715,5.7715
55,266.12,9.107420822,2.6077,14.23174219,2.6077,83.889575,3.5221,1004.324551,21.12734595,-1.4962925,301.7440927,41.5777,-70.74611,600,0,32.07855,0,0,21.12734595,5.8505,5.8505,5.8505
56,266.132,9.386358652,2.4802,14.25282448,2.4802,83.17755,3.3946,1004.470055,21.11706124,-1.195375,318.1651151,41.5777,-70.74611,600,0,32.08325,0,0,21.11706124,5.978,5.978,5.978
57,266.144,10.075199,2.3262,14.27788438,2.3262,80.872525,3.2406,1004.67535,21.10022959,-1.046535,325.1032573,41.5777,-70.74611,600,0,32.0893,0,0,21.10022959,6.132,6.132,6.132
58,266.156,9.581245677,2.2057,13.96598542,2.2057,81.25560833,3.1201,1004.981842,21.08166752,-1.039378333,332.9146966,41.5777,-70.74611,600,0,32.09545,0,0,21.08166752,6.2525,6.2525,6.2525
59,266.168,8.650201225,2.0672,13.78908932,2.0672,82.62965833,2.9816,1005.320677,21.05253359,-0.6648975,340.9272857,41.5777,-70.74611,600,0,32.10085,0,0,21.05253359,6.391,6.391,6.391
60,266.18,7.717174043,1.9532,13.62084583,1.9532,84.24040867,2.8676,1005.718189,21.01944455,-0.8883761468,343.5548675,41.5777,-70.74611,600,0,32.10385,0,0,21.01944455,6.505,6.505,6.505
61,266.192,8.225469094,1.8637,13.50084297,1.8637,83.7034362,2.7781,1005.946679,20.99301137,-0.6999833194,339.241915,41.5777,-70.74611,600,0,32.10725,0,0,20.99301137,6.5945,6.5945,6.5945
62,266.204,8.671722004,1.8102,13.46233958,1.8102,81.89035,2.7246,1006.035522,20.98114906,-1.115808333,316.8767486,41.5777,-70.74611,600,0,32.10945,0,0,20.98114906,6.648,6.648,6.648
63,266.216,8.774994682,1.7897,13.26185599,1.7897,83.49245,2.7041,1006.268834,20.969649,-1.313549167,294.0276466,41.5777,-70.74611,600,0,32.11325,0,0,20.969649,6.6685,6.6685,6.6685
64,266.228,9.395242234,1.8257,13.19650729,1.8257,82.54638333,2.7401,1006.459864,20.93872423,2.015156667,288.2685028,41.5777,-70.74611,600,0,32.11325,0,0,20.93872423,6.6325,6.6325,6.6325
65,266.24,8.860423743,1.8587,12.91840547,1.8587,82.721625,2.7731,1006.785869,20.94185222,19.48872333,286.8675674,41.5777,-70.74611,600,0,32.11325,0,0,20.94185222,6.5995,6.5995,6.5995
66,266.252,9.089920885,1.8852,12.78189505,1.8852,80.78723333,2.7996,1006.920104,20.92691986,71.8115,285.3748848,41.5777,-70.74611,600,0,32.11465,0,0,20.92691986,6.573,6.573,6.573
67,266.264,9.592210215,1.9742,12.85517708,1.9742,77.62085833,2.8886,1007.12003,20.91670329,130.4948833,285.6908417,41.5777,-70.74611,600,0,32.11595,0,0,20.91670329,6.484,6.484,6.484
68,266.276,9.246739474,2.0462,12.57642266,2.0462,76.8973,2.9606,1007.294574,20.90928642,195.8055083,285.9953382,41.5777,-70.74611,600,0,32.11755,0,0,20.90928642,6.412,6.412,6.412
69,266.288,9.404139259,2.1387,12.60799557,2.1387,75.48123333,3.0531,1007.211602,20.89179662,264.99925,286.7796846,41.5777,-70.74611,600,0,32.1179,0,0,20.89179662,6.3195,6.3195,6.3195
70,266.3,9.884948656,2.1687,12.62985391,2.1687,74.18005,3.0831,1007.07457,20.8966091,334.7168333,287.9832614,41.5777,-70.74611,600,0,32.11865,0,0,20.8966091,6.2895,6.2895,6.2895
71,266.312,10.78159323,2.2557,12.72269349,2.2557,72.52210833,3.1701,1006.958253,20.88571726,398.41425,287.8286806,41.5777,-70.74611,600,0,32.11895,0,0,20.88571726,6.2025,6.2025,6.2025
72,266.324,10.73898135,2.3357,12.78010078,2.3357,70.488925,3.2501,1006.859603,20.87144919,463.18725,287.6405609,41.5777,-70.74611,600,0,32.1195,0,0,20.87144919,6.1225,6.1225,6.1225
73,266.336,10.42281718,2.4312,12.97808802,2.4312,69.38095833,3.3456,1006.856186,20.86660405,522.5666667,289.4505189,41.5777,-70.74611,600,0,32.1184,0,0,20.86660405,6.027,6.027,6.027
74,266.348,10.46327626,2.5147,13.29997578,2.5147,68.4154,3.4291,1007.005814,20.85410203,556.7971667,292.1860361,41.5777,-70.74611,600,0,32.11615,0,0,20.85410203,5.9435,5.9435,5.9435
75,266.36,9.535782315,2.5252,13.34985286,2.5252,66.348025,3.4396,1007.272941,20.84957735,532.4749167,301.7228827,41.5777,-70.74611,600,0,32.11285,0,0,20.84957735,5.933,5.933,5.933
76,266.372,9.709465693,2.5597,13.42775964,2.5597,64.67146667,3.4741,1007.430662,20.84718365,424.3218333,324.247143,41.5777,-70.74611,600,0,32.1123,0,0,20.84718365,5.8985,5.8985,5.8985
77,266.384,9.146562286,2.5857,13.57137161,2.5857,63.02189324,3.5001,1007.544316,20.85071701,432.3839867,338.4012942,41.5777,-70.74611,600,0,32.11105,0,0,20.85071701,5.8725,5.8725,5.8725
78,266.396,8.333427236,2.6262,13.63298333,2.6262,62.34201835,3.5406,1007.608043,20.85076676,403.6455379,340.0955899,41.5777,-70.74611,600,0,32.1104,0,0,20.85076676,5.832,5.832,5.832
79,266.408,7.635985162,2.6512,13.80559063,2.6512,62.91860833,3.5656,1007.502701,20.84942918,455.3649167,325.1727179,41.5777,-70.74611,600,0,32.1099,0,0,20.84942918,5.807,5.807,5.807
80,266.42,7.777640935,2.6672,13.97846563,2.6672,60.60461667,3.5816,1007.320106,20.85451375,708.108,307.3718302,41.5777,-70.74611,600,0,32.10905,0,0,20.85451375,5.791,5.791,5.791
81,266.432,7.705907213,2.6692,14.32868516,2.6692,60.885975,3.5836,1007.199113,20.85627633,750.9220833,306.7324201,41.5777,-70.74611,600,0,32.10785,0,0,20.85627633,5.789,5.789,5.789
82,266.444,8.116164589,2.7382,14.64919375,2.7382,60.714625,3.6526,1007.110349,20.86967767,787.1983333,320.498222,41.5777,-70.74611,600,0,32.10925,0,0,20.86967767,5.72,5.72,5.72
83,266.456,8.449198015,2.7167,14.79995859,2.7167,60.46091667,3.6311,1006.969439,20.86879544,706.7493333,329.4039912,41.5777,-70.74611,600,0,32.1091,0,0,20.86879544,5.7415,5.7415,5.7415
84,266.468,8.402584615,2.6922,14.87315755,2.6922,59.398875,3.6066,1006.693102,20.86976133,752.30475,318.9896548,41.5777,-70.74611,600,0,32.1083,0,0,20.86976133,5.766,5.766,5.766
85,266.48,9.449839634,2.7117,15.32655026,2.7117,58.25358333,3.6261,1006.373182,20.86685941,778.0858333,311.4392265,41.5777,-70.74611,600,0,32.1082,0,0,20.86685941,5.7465,5.7465,5.7465
86,266.492,9.75462401,2.7022,15.34411823,2.7022,56.047125,3.6166,1006.194914,20.8663913,695.8090833,313.1711323,41.5777,-70.74611,600,0,32.10885,0,0,20.8663913,5.756,5.756,5.756
87,266.504,9.422575395,2.6487,15.45060495,2.6487,57.3795,3.5631,1006.097734,20.86006913,441.4523333,334.7896588,41.5777,-70.74611,600,0,32.1104,0,0,20.86006913,5.8095,5.8095,5.8095
88,266.516,9.486808181,2.6077,15.3784099,2.6077,55.227825,3.5221,1006.077885,20.85523747,557.9250833,314.2085722,41.5777,-70.74611,600,0,32.1126,0,0,20.85523747,5.8505,5.8505,5.8505
89,266.528,9.221574764,2.5587,15.59881797,2.5587,55.694275,3.4731,1005.920734,20.8487224,213.2720833,321.2947408,41.5777,-70.74611,600,0,32.1141,0,0,20.8487224,5.8995,5.8995,5.8995
90,266.54,9.186556868,2.5327,15.68091484,2.5327,55.14389167,3.4471,1005.791325,20.83964513,295.6991667,322.8929547,41.5777,-70.74611,600,0,32.11745,0,0,20.83964513,5.9255,5.9255,5.9255
91,266.552,9.732375233,2.4857,15.87972578,2.4857,56.15403333,3.4001,1005.749916,20.82930903,445.5819167,324.4062984,41.5777,-70.74611,600,0,32.12145,0,0,20.82930903,5.9725,5.9725,5.9725
92,266.564,9.170106551,2.3602,15.84175859,2.3602,54.57343333,3.2746,1005.729447,20.8209237,248.1535,322.2526779,41.5777,-70.74611,600,0,32.12735,0,0,20.8209237,6.098,6.098,6.098
93,266.576,9.49762045,2.3097,16.09782188,2.3097,53.79214167,3.2241,1005.739796,20.81334126,464.5348333,305.4975491,41.5777,-70.74611,600,0,32.12885,0,0,20.81334126,6.1485,6.1485,6.1485
94,266.588,9.563424889,2.2867,16.21193802,2.2867,53.12254379,3.2011,1005.78659,20.81686748,378.1100917,305.808663,41.5777,-70.74611,600,0,32.1285,0,0,20.81686748,6.1715,6.1715,6.1715
95,266.6,10.20644934,2.1957,16.34981667,2.1957,53.81841535,3.1101,1005.960406,20.84146582,319.5062385,301.8323341,41.5777,-70.74611,600,0,32.11785,0,0,20.84146582,6.2625,6.2625,6.2625
96,266.612,10.31721491,2.1287,16.23415312,2.1287,53.09309167,3.0431,1006.135414,20.8014396,258.29275,301.8239013,41.5777,-70.74611,600,0,32.12115,0,0,20.8014396,6.3295,6.3295,6.3295
97,266.624,10.39001889,2.0457,16.17868568,2.0457,54.64485833,2.9601,1006.333871,20.78998512,184.79975,298.0124433,41.5777,-70.74611,600,0,32.12235,0,0,20.78998512,6.4125,6.4125,6.4125
98,266.636,10.45846651,1.9692,16.13307552,1.9692,54.96669167,2.8836,1006.511178,20.77403005,115.9035833,295.9150959,41.5777,-70.74611,600,0,32.12675,0,0,20.77403005,6.489,6.489,6.489
99,266.648,10.60880184,1.8462,15.8946388,1.8462,54.369725,2.7606,1006.664812,20.77989731,56.27294167,295.2825105,41.5777,-70.74611,600,0,32.1226,0,0,20.77989731,6.612,6.612,6.612
100,266.66,9.326888619,1.8537,15.79858073,1.8537,56.73068333,2.7681,1006.74042,20.72819355,13.0443475,294.2423332,41.5777,-70.74611,600,0,32.12925,0,0,20.72819355,6.6045,6.6045,6.6045
101,266.672,9.060582947,1.8012,15.43805365,1.8012,57.725125,2.7156,1006.977155,20.75360921,-0.136885,292.4125868,41.5777,-70.74611,600,0,32.12625,0,0,20.75360921,6.657,6.657,6.657
102,266.684,12.00428394,1.7902,14.93104089,1.7902,59.80603333,2.7046,1007.49398,20.75770941,-1.86963,289.8407063,41.5777,-70.74611,600,0,32.1214,0,0,20.75770941,6.668,6.668,6.668
103,266.696,11.34724953,1.8137,14.44970417,1.8137,61.669925,2.7281,1008.144248,20.7451546,-1.771896667,288.3375707,41.5777,-70.74611,600,0,32.11955,0,0,20.7451546,6.6445,6.6445,6.6445
104,266.708,12.8478358,1.7392,13.88062279,1.7392,61.95024187,2.6536,1008.765553,20.73577575,-1.051398666,319.8649302,41.5777,-70.74611,600,0,32.11935,0,0,20.73577575,6.719,6.719,6.719
105,266.72,11.07354499,1.8492,13.82357656,1.8492,63.561925,2.7636,1009.123136,20.70302663,-0.7564466667,325.5500177,41.5777,-70.74611,600,0,32.1201,0,0,20.70302663,6.609,6.609,6.609
106,266.732,11.12550451,1.9082,13.39109635,1.9082,61.40944167,2.8226,1009.279517,20.67781306,-1.745389167,285.64409,41.5777,-70.74611,600,0,32.12215,0,0,20.67781306,6.55,6.55,6.55
107,266.744,11.12450023,2.0452,13.31585078,2.0452,62.01845,2.9596,1009.511014,20.64694776,-1.608168333,283.881827,41.5777,-70.74611,600,0,32.12655,0,0,20.64694776,6.413,6.413,6.413
108,266.756,11.25779509,2.0912,13.05785964,2.0912,60.93,3.0056,1009.667873,20.59103781,-1.454710833,282.3349153,41.5777,-70.74611,600,0,32.1347,0,0,20.59103781,6.367,6.367,6.367
109,266.768,10.47810261,2.2507,12.9545099,2.2507,61.29961667,3.1651,1009.824514,20.54554944,-1.704589167,281.657703,41.5777,-70.74611,600,0,32.1391,0,0,20.54554944,6.2075,6.2075,6.2075
110,266.78,10.06587096,2.2942,12.88263047,2.2942,62.598825,3.2086,1009.958502,20.52385105,-1.620424167,280.9578074,41.5777,-70.74611,600,0,32.13895,0,0,20.52385105,6.164,6.164,6.164
111,266.792,10.07078784,2.4277,12.51344688,2.4277,61.64143453,3.3421,1010.103,20.48891847,-1.785954962,279.904214,41.5777,-70.74611,600,0,32.14,0,0,20.48891847,6.0305,6.0305,6.0305
112,266.804,10.06618164,2.5742,12.31158385,2.5742,61.0883236,3.4886,1010.241556,20.48065412,-1.779679733,278.9167861,41.5777,-70.74611,600,0,32.14015,0,0,20.48065412,5.884,5.884,5.884
113,266.816,9.688207922,2.6507,12.23277448,2.6507,61.56896667,3.5651,1010.282182,20.46603262,-1.651569167,278.085274,41.5777,-70.74611,600,0,32.1405,0,0,20.46603262,5.8075,5.8075,5.8075
114,266.828,8.982914456,2.7202,12.12068906,2.7202,62.20476667,3.6346,1010.463253,20.45992788,-1.759911667,278.0541186,41.5777,-70.74611,600,0,32.14075,0,0,20.45992788,5.738,5.738,5.738
115,266.84,8.658042025,2.7592,12.01213594,2.7592,63.70840833,3.6736,1010.31,20.42907543,-1.815808333,277.2952131,41.5777,-70.74611,600,0,32.13955,0,0,20.42907543,5.699,5.699,5.699
116,266.852,9.300501062,2.8432,12.01948151,2.8432,63.54198333,3.7576,1010.282931,20.40986858,-1.699429167,276.9010861,41.5777,-70.74611,600,0,32.1411,0,0,20.40986858,5.615,5.615,5.615
117,267,8.938828677,2.8352,11.83020052,2.8352,61.347425,3.7496,1010.395713,20.40732065,-1.8705775,276.3820315,41.5777,-70.74611,600,0,32.14125,0,0,20.40732065,5.623,5.623,5.623
118,267.012,9.224896071,2.8317,11.94892969,2.8317,61.764425,3.7461,1010.519947,20.37763486,-1.6358625,276.2724079,41.5777,-70.74611,600,0,32.1397,0,0,20.37763486,5.6265,5.6265,5.6265
119,267.024,9.440941168,2.8342,11.97470313,2.8342,62.58835,3.7486,1010.721575,20.35311051,-1.693153333,276.3150339,41.5777,-70.74611,600,0,32.14145,0,0,20.35311051,5.624,5.624,5.624
120,267.036,9.846908645,2.8207,12.02100391,2.8207,63.09423333,3.7351,1010.849869,20.34034238,-1.594140833,276.0963463,41.5777,-70.74611,600,0,32.1414,0,0,20.34034238,5.6375,5.6375,5.6375
121,267.048,9.280868023,2.7852,12.07399766,2.7852,63.4901,3.6996,1011.042636,20.32050491,-1.68916,276.5462734,41.5777,-70.74611,600,0,32.1412,0,0,20.32050491,5.673,5.673,5.673
122,267.06,9.981840856,2.7407,11.99300703,2.7407,63.72190833,3.6551,1010.740884,20.28643351,-1.716290833,275.8586275,41.5777,-70.74611,600,0,32.1417,0,0,20.28643351,5.7175,5.7175,5.7175
123,267.072,10.7141627,2.7402,11.86982005,2.7402,63.50764167,3.6546,1010.668208,20.28041336,-1.4054075,274.5671753,41.5777,-70.74611,600,0,32.14105,0,0,20.28041336,5.718,5.718,5.718
124,267.084,10.7923584,2.7477,11.83177422,2.7477,63.97785,3.6621,1010.504295,20.26243328,-1.736210833,273.361319,41.5777,-70.74611,600,0,32.1414,0,0,20.26243328,5.7105,5.7105,5.7105
125,267.096,11.07520672,2.7242,11.76464583,2.7242,64.25085833,3.6386,1010.482152,20.23534706,-1.6503725,270.1026337,41.5777,-70.74611,600,0,32.14135,0,0,20.23534706,5.734,5.734,5.734
126,267.108,11.35109669,2.8257,11.69632109,2.8257,64.928825,3.7401,1010.464414,20.22712194,-1.496354167,268.6458357,41.5777,-70.74611,600,0,32.1422,0,0,20.22712194,5.6325,5.6325,5.6325
127,267.12,10.82827523,2.5932,11.50652161,2.5932,63.903275,3.5076,1010.634892,20.20379392,-1.739648333,268.1601101,41.5777,-70.74611,600,0,32.14115,0,0,20.20379392,5.865,5.865,5.865
128,267.132,9.83195584,2.6232,11.41096224,2.6232,64.65897415,3.5376,1010.693834,20.1736331,-1.757321101,267.4951544,41.5777,-70.74611,600,0,32.14055,0,0,20.1736331,5.835,5.835,5.835
129,267.144,9.842203015,2.5462,11.34302474,2.5462,64.82867389,3.4606,1010.66644,20.15650532,-1.736541284,266.6017807,41.5777,-70.74611,600,0,32.1432,0,0,20.15650532,5.912,5.912,5.912
130,267.156,8.690314537,2.5137,11.34485729,2.5137,64.82,3.4281,1010.671747,20.13183331,-1.940188333,266.4970373,41.5777,-70.74611,600,0,32.14075,0,0,20.13183331,5.9445,5.9445,5.9445
